## RESOURCE, PROTO, MICRO RDK, PYTHON METHOD, GO METHOD, FLUTTER METHOD, TYPESCRIPT METHOD

## Arm
## NOTED:Generic Component in Go SDK doesn't appear to implement (inherit) these:
generic_component,DoCommand,Yes,do_command,DoCommand,doCommand,doCommand
generic_component,GetGeometries,No,get_geometries,,,getGeometries
## HACK: No proto for close, manually mapping:
## NOTED: Go SDK also missing Close, but we have it in our docs?:
generic_component,GetResourceName,No,get_resource_name,,getResourceName,
generic_component,Close,No,close,,,

## Gripper
gripper,Open,,open,Open,open,open
gripper,Grab,,grab,Grab,grab,grab
## HACK:  proto for these (and/or inherited in Go SDK), manually mapping:
gripper,IsMoving,,is_moving,IsMoving,isMoving,isMoving
gripper,IsHoldingSomething,,is_holding_something,IsHoldingSomething,isHoldingSomething,
gripper,Stop,,stop,Stop,stop,stop
gripper,GetGeometries,,get_geometries,Geometries,,getGeometries
gripper,Reconfigure,,,Reconfigure,,
gripper,DoCommand,,do_command,DoCommand,doCommand,doCommand
gripper,GetKinematics,,get_kinematics,Kinematics,getKinematics,
gripper,GetResourceName,,get_resource_name,,getResourceName,
gripper,Close,,close,Close,,

## Input Controller
input_controller,GetControls,,get_controls,Controls,,
input_controller,GetEvents,,get_events,Events,,getEvents
input_controller,StreamEvents,,,,,
input_controller,TriggerEvent,,trigger_event,TriggerEvent,,triggerEvent
## TED: Go SDK doesn't appear to implement this:
input_controller,GetGeometries,,get_geometries,,,
## HACK: Input (python, go) provides additional helper function, adding 1 pseudo-entries:
input_controller,RegisterControlCallback,,register_control_callback,RegisterControlCallback,,
## HACK:  proto for these (and/or inherited in Go SDK), manually mapping:
input_controller,Reconfigure,,,Reconfigure,,
input_controller,DoCommand,,do_command,DoCommand,,
input_controller,GetResourceName,,get_resource_name,,,
input_controller,Close,,close,Close,,

## Motor
motor,SetPower,Yes,set_power,SetPower,setPower,setPower
motor,SetRPM,No,set_rpm,SetRPM,setRPM,setRPM
motor,GoFor,No,go_for,GoFor,goFor,goFor
motor,GoTo,No,go_to,GoTo,goTo,goTo
motor,ResetZeroPosition,No,reset_zero_position,ResetZeroPosition,resetZeroPosition,resetZeroPosition
motor,GetPosition,Yes,get_position,Position,position,getPosition
motor,GetProperties,Yes,get_properties,Properties,properties,getProperties
motor,IsPowered,No,is_powered,IsPowered,powerState,isPowered
# NOT implemented motor,GetGeometries,No,get_geometries,,,
## HACK: No proto for these (and/or inherited in Go SDK), manually mapping:
motor,IsMoving,Yes,is_moving,IsMoving,isMoving,isMoving
motor,Stop,Yes,stop,Stop,stop,stop
motor,Reconfigure,No,,Reconfigure,,
# NOT implemented in other languages
motor,DoCommand,,do_command,DoCommand,doCommand,doCommand
motor,GetResourceName,No,get_resource_name,,getResourceName,
motor,Close,No,close,Close,,

## Movement Sensor
movement_sensor,GetLinearVelocity,Yes,get_linear_velocity,LinearVelocity,linearVelocity,getLinearVelocity
movement_sensor,GetAngularVelocity,Yes,get_angular_velocity,AngularVelocity,angularVelocity,getAngularVelocity
movement_sensor,GetCompassHeading,Yes,get_compass_heading,CompassHeading,compassHeading,getCompassHeading
movement_sensor,GetOrientation,No,get_orientation,Orientation,orientation,getOrientation
movement_sensor,GetPosition,Yes,get_position,Position,position,getPosition
movement_sensor,GetProperties,Yes,get_properties,Properties,properties,getProperties
movement_sensor,GetAccuracy,No,get_accuracy,Accuracy,accuracy,getAccuracy
movement_sensor,GetLinearAcceleration,Yes,get_linear_acceleration,LinearAcceleration,linearAcceleration,getLinearAcceleration
## NOTED: Go SDK doesn't appear to implement this:
movement_sensor,GetGeometries,No,get_geometries,,,
## HACK: No proto for these (and/or inherited in Go SDK), manually mapping:
movement_sensor,GetReadings,Yes,get_readings,Readings,readings,getReadings
movement_sensor,Reconfigure,No,,Reconfigure,,
movement_sensor,DoCommand,Yes,do_command,DoCommand,doCommand,doCommand
movement_sensor,GetResourceName,No,get_resource_name,,getResourceName,
movement_sensor,Close,No,close,Close,,

## Power Sensor
power_sensor,GetVoltage,,get_voltage,Voltage,voltage,getVoltage
power_sensor,GetCurrent,,get_current,Current,current,getCurrent
power_sensor,GetPower,,get_power,Power,power,getPower
power_sensor,GetReadings,,get_readings,Readings,readings,getReadings
## HACK:  GetGeometries proto for power sensor component, adding 1 pseudo-entry:
## TED: But t for Go SDK:
# NOT implemented power_sensor,GetGeometries,,get_geometries,,,
## HACK:  proto for these (and/or inherited in Go SDK), manually mapping:
power_sensor,Reconfigure,,,Reconfigure,,
power_sensor,DoCommand,,do_command,DoCommand,doCommand,doCommand
power_sensor,GetResourceName,,get_resource_name,,getResourceName,
power_sensor,Close,,close,Close,,

## Sensor
sensor,GetReadings,Yes,get_readings,Readings,readings,getReadings
# NOT implemented sensor,GetGeometries,No,get_geometries,,,
## HACK: No proto for close (and/or inherited in Go SDK), manually mapping:
sensor,GetGeometries,,get_geometries,,,
sensor,Reconfigure,No,,Reconfigure,,
# NOT implemented in other languages
sensor,DoCommand,,do_command,DoCommand,doCommand,doCommand
sensor,GetResourceName,No,get_resource_name,,getResourceName,
sensor,Close,No,close,Close,,

## Servo
servo,Move,Yes,move,Move,move,move
servo,GetPosition,Yes,get_position,Position,position,getPosition
# NOT implemented servo,GetGeometries,No,get_geometries,,,
## HACK: No proto for these (and/or inherited in Go SDK), manually mapping:
servo,IsMoving,No,is_moving,IsMoving,isMoving,isMoving
servo,Stop,Yes,stop,Stop,stop,stop
servo,Reconfigure,No,,Reconfigure,,
# NOT implemented in other languages
servo,DoCommand,,do_command,DoCommand,doCommand,doCommand
servo,GetResourceName,No,get_resource_name,,getResourceName,
servo,Close,No,close,Close,,

## Switch
switch,SetPosition,Yes,set_position,SetPosition,,setPosition
switch,GetPosition,Yes,get_position,GetPosition,,getPosition
switch,GetNumberOfPositions,Yes,get_number_of_positions,GetNumberOfPositions,,getNumberOfPositions
switch,DoCommand,Yes,do_command,DoCommand,,doCommand
switch,Close,No,close,Close,,

## Base Remote Control
## HACK: No proto for Base Remote Control, manually adding:
base_remote_control,ControllerInputs,,,ControllerInputs,,
## HACK: No proto for these (and/or inherited in Go SDK), manually mapping:
base_remote_control,Reconfigure,,,Reconfigure,,
base_remote_control,DoCommand,,,DoCommand,,
base_remote_control,Close,,,Close,,

## Data Manager
data_manager,Sync,No,,Sync,,sync
## HACK: No proto for these (and/or inherited in Go SDK), manually mapping:
data_manager,Reconfigure,No,,Reconfigure,,
data_manager,DoCommand,No,,DoCommand,,doCommand
data_manager,Close,No,,Close,,

## Generic Service
## TED:Generic Component in Go SDK doesn't appear to implement (inherit) these:
generic_service,DoCommand,,do_command,DoCommand,,doCommand
generic_service,GetResourceName,,get_resource_name,,,
## HACK:  proto for close, manually mapping:
## TED: Go SDK also missing Close, but we have it in our docs?:
generic_service,Close,,close,,,

## MLModel
mlmodel,Infer,,infer,Infer,,
mlmodel,Metadata,,metadata,Metadata,,
## HACK:  proto for DoCommand or Close (and/or inherited in Go SDK), manually mapping:
mlmodel,Reconfigure,,,Reconfigure,,
mlmodel,DoCommand,,,DoCommand,,
mlmodel,GetResourceName,,get_resource_name,,,
mlmodel,Close,,close,Close,,

## Motion
motion,Move,,move,Move,,move
motion,MoveOnMap,,move_on_map,MoveOnMap,,moveOnMap
motion,MoveOnGlobe,,move_on_globe,MoveOnGlobe,,moveOnGlobe
motion,GetPose,,get_pose,GetPose,,getPose
motion,StopPlan,,stop_plan,StopPlan,,stopPlan
motion,ListPlanStatuses,,list_plan_statuses,ListPlanStatuses,,listPlanStatuses
motion,GetPlan,,get_plan,PlanHistory,,getPlan
## HACK:  proto for these (and/or inherited in Go SDK), manually mapping:
motion,Reconfigure,,,Reconfigure,,
motion,FromRobot,,from_robot,,,
motion,DoCommand,,do_command,DoCommand,,doCommand
motion,GetResourceName,,get_resource_name,,,
motion,Close,,close,Close,,

## Navigation
navigation,GetMode,,get_mode,Mode,,getMode
navigation,SetMode,,set_mode,SetMode,,setMode
navigation,GetLocation,,get_location,Location,,getLocation
navigation,GetWaypoints,,get_waypoints,Waypoints,,getWayPoints
navigation,AddWaypoint,,add_waypoint,AddWaypoint,,addWayPoint
navigation,RemoveWaypoint,,remove_waypoint,RemoveWaypoint,,removeWayPoint
navigation,GetObstacles,,get_obstacles,Obstacles,,getObstacles
navigation,GetPaths,,get_paths,Paths,,getPaths
navigation,GetProperties,,get_properties,Properties,,getProperties
## HACK:  proto for these (and/or inherited in Go SDK), manually mapping:
navigation,Reconfigure,,,Reconfigure,,
navigation,DoCommand,,do_command,DoCommand,,doCommand
navigation,GetResourceName,,get_resource_name,,,
navigation,Close,,close,Close,,

## SLAM
slam,GetPosition,,get_position,Position,,getPosition
## HACK: SLAM (Go) implements proto GetPointCloudMap in user-facing helper PointCloudMapFull instead:
slam,GetPointCloudMap,,get_point_cloud_map,PointCloudMap,,getPointCloudMap
## HACK: SLAM (Go) implements proto GetInternalState in user-facing helper InternalStateFull instead:
slam,GetInternalState,,get_internal_state,InternalState,,getInternalState
slam,GetProperties,,get_properties,Properties,,getProperties
## HACK: SLAM (Go) provides 2 additional helper functions, adding 2 pseudo-entries:
slam,InternalStateFull,,,InternalStateFull,,
slam,PointCloudMapFull,,,PointCloudMapFull,,
## HACK:  proto for these (and/or inherited in Go SDK), manually mapping:
slam,Reconfigure,,,Reconfigure,,
slam,DoCommand,,do_command,DoCommand,,doCommand
slam,GetResourceName,,get_resource_name,,,
slam,Close,,close,Close,,

## Vision
vision,GetDetectionsFromCamera,,get_detections_from_camera,DetectionsFromCamera,detectionsFromCamera,getDetectionsFromCamera
vision,GetDetections,,get_detections,Detections,detections,getDetections
vision,GetClassificationsFromCamera,,get_classifications_from_camera,ClassificationsFromCamera,classificationsFromCamera,getClassificationsFromCamera
vision,GetClassifications,,get_classifications,Classifications,classifications,getClassifications
vision,GetObjectPointClouds,,get_object_point_clouds,GetObjectPointClouds,objectPointClouds,getObjectPointClouds
vision,CaptureAllFromCamera,,capture_all_from_camera,CaptureAllFromCamera,,captureAllFromCamera
## HACK:  proto for these (and/or inherited in Go SDK), manually mapping:
vision,Reconfigure,,,Reconfigure,,
vision,DoCommand,,do_command,DoCommand,doCommand,doCommand
vision,GetResourceName,,get_resource_name,,getResourceName,
vision,GetProperties,,get_properties,GetProperties,properties,getProperties
vision,Close,,close,Close,,

## App
app,GetUserIDByEmail,,get_user_id_by_email,,,getUserIDByEmail
app,CreateOrganization,,create_organization,,,createOrganization
app,ListOrganizations,,list_organizations,,,listOrganizations
app,GetOrganizationsWithAccessToLocation,,get_organizations_with_access_to_location,,,getOrganizationsWithAccessToLocation
app,ListOrganizationsByUser,,list_organizations_by_user,,,listOrganizationsByUser
app,GetOrganization,,get_organization,,,getOrganization
app,GetOrganizationNamespaceAvailability,,get_organization_namespace_availability,,,getOrganizationNamespaceAvailability
app,UpdateOrganization,,update_organization,,,updateOrganization
app,DeleteOrganization,,delete_organization,,,deleteOrganization
app,ListOrganizationMembers,,list_organization_members,,,listOrganizationMembers
app,CreateOrganizationInvite,,create_organization_invite,,,createOrganizationInvite
app,UpdateOrganizationInviteAuthorizations,,update_organization_invite_authorizations,,,updateOrganizationInviteAuthorizations
app,DeleteOrganizationMember,,delete_organization_member,,,deleteOrganizationMember
app,DeleteOrganizationInvite,,delete_organization_invite,,,deleteOrganizationInvite
app,ResendOrganizationInvite,,resend_organization_invite,,,resendOrganizationInvite
app,GetOrganizationMetadata,,get_organization_metadata,,,getOrganizationMetadata
app,UpdateOrganizationMetadata,,update_organization_metadata,,,updateOrganizationMetadata
app,CreateLocation,,create_location,,,createLocation
app,GetLocation,,get_location,,,getLocation
app,UpdateLocation,,update_location,,,updateLocation
app,DeleteLocation,,delete_location,,,deleteLocation
app,ListLocations,,list_locations,,,listLocations
app,ShareLocation,,share_location,,,shareLocation
app,UnshareLocation,,unshare_location,,,unshareLocation
app,LocationAuth,,location_auth,,,locationAuth
app,CreateLocationSecret,,create_location_secret,,,createLocationSecret
app,DeleteLocationSecret,,delete_location_secret,,,deleteLocationSecret
app,GetLocationMetadata,,get_location_metadata,,,getLocationMetadata
app,UpdateLocationMetadata,,update_location_metadata,,,updateLocationMetadata
app,GetRobot,,get_robot,,,getRobot
app,GetRobotAPIKeys,,get_robot_api_keys,,,getRobotAPIKeys
## TODO: Rover stuff is implemented in py,flutter, but internal in design. Omit at proto-level, t lang-level:
app,GetRoverRentalRobots,,,,,
app,GetRobotParts,,get_robot_parts,,,getRobotParts
app,GetRobotPart,,get_robot_part,,,getRobotPart
app,GetRobotPartLogs,,get_robot_part_logs,,,getRobotPartLogs
app,GetRobotPartByNameAndLocation,,,,,getRobotPartByNameAndLocation
app,TailRobotPartLogs,,tail_robot_part_logs,,,tailRobotPartLogs
app,GetRobotPartHistory,,get_robot_part_history,,,getRobotPartHistory
app,UpdateRobotPart,,update_robot_part,,,updateRobotPart
app,NewRobotPart,,new_robot_part,,,newRobotPart
app,DeleteRobotPart,,delete_robot_part,,,deleteRobotPart
app,MarkPartAsMain,,mark_part_as_main,,,markPartAsMain
app,MarkPartForRestart,,mark_part_for_restart,,,markPartForRestart
app,CreateRobotPartSecret,,create_robot_part_secret,,,createRobotPartSecret
app,DeleteRobotPartSecret,,delete_robot_part_secret,,,deleteRobotPartSecret
app,ListRobots,,list_robots,,,listRobots
app,NewRobot,,new_robot,,,newRobot
app,UpdateRobot,,update_robot,,,updateRobot
app,DeleteRobot,,delete_robot,,,deleteRobot
app,GetRobotMetadata,,get_robot_metadata,,,getRobotMetadata
app,GetRobotPartMetadata,,get_robot_part_metadata,,,getRobotPartMetadata
app,UpdateRobotMetadata,,update_robot_metadata,,,updateRobotMetadata
app,UpdateRobotPartMetadata,,update_robot_part_metadata,,,updateRobotPartMetadata
app,ListFragments,,list_fragments,,,listFragments
app,ListMachineFragments,,,,,listMachineFragments
app,ListMachineSummaries,,,,,listMachineSummaries
app,GetFragment,,get_fragment,,,getFragment
app,CreateFragment,,create_fragment,,,createFragment
app,UpdateFragment,,update_fragment,,,updateFragment
app,DeleteFragment,,delete_fragment,,,deleteFragment
app,GetFragmentHistory,,get_fragment_history,,,
app,AddRole,,add_role,,,addRole
app,RemoveRole,,remove_role,,,removeRole
app,ChangeRole,,change_role,,,changeRole
app,ListAuthorizations,,list_authorizations,,,listAuthorizations
app,CheckPermissions,,check_permissions,,,checkPermissions
app,GetRegistryItem,,get_registry_item,,,getRegistryItem
app,CreateRegistryItem,,create_registry_item,,,createRegistryItem
app,UpdateRegistryItem,,update_registry_item,,,updateRegistryItem
app,ListRegistryItems,,list_registry_items,,,listRegistryItems
app,DeleteRegistryItem,,delete_registry_item,,,deleteRegistryItem
app,CreateModule,,create_module,,,createModule
app,UpdateModule,,update_module,,,updateModule
app,UploadModuleFile,,upload_module_file,,,
app,GetModule,,get_module,,,getModule
app,ListModules,,list_modules,,,listModules
app,CreateKey,,create_key,,,createKey
app,DeleteKey,,delete_key,,,deleteKey
app,RotateKey,,rotate_key,,,rotateKey
app,ListKeys,,list_keys,,,listKeys
app,CreateKeyFromExistingKeyAuthorizations,,create_key_from_existing_key_authorizations,,,createKeyFromExistingKeyAuthorizations
app,GetAppContent,,,,,getAppContent
app,GetAppBranding,,,,,getAppBranding

## Billing
billing,GetCurrentMonthUsage,,get_current_month_usage,,,getCurrentMonthUsage
billing,GetOrgBillingInformation,,get_org_billing_information,,,getOrgBillingInformation
billing,GetInvoicesSummary,,get_invoices_summary,,,getInvoicesSummary
billing,GetInvoicePdf,,get_invoice_pdf,,,getInvoicePdf

## Data
data,GetLatestTabularData,,get_latest_tabular_data,GetLatestTabularData,getLatestTabularData,getLatestTabularData
data,ExportTabularData,,export_tabular_data,ExportTabularData,exportTabularData,exportTabularData
data,TabularDataByFilter,,tabular_data_by_filter,TabularDataByFilter,tabularDataByFilter,tabularDataByFilter
data,TabularDataBySQL,,tabular_data_by_sql,TabularDataBySQL,tabularDataBySql,tabularDataBySQL
data,TabularDataByMQL,,tabular_data_by_mql,TabularDataByMQL,tabularDataByMql,tabularDataByMQL
data,BinaryDataByFilter,,binary_data_by_filter,BinaryDataByFilter,binaryDataByFilter,binaryDataByFilter
data,BinaryDataByIDs,,binary_data_by_ids,BinaryDataByIDs,binaryDataByIds,binaryDataByIds
data,DeleteTabularData,,delete_tabular_data,DeleteTabularData,deleteTabularData,deleteTabularData
data,DeleteBinaryDataByFilter,,delete_binary_data_by_filter,DeleteBinaryDataByFilter,deleteBinaryDataByFilter,deleteBinaryDataByFilter
data,DeleteBinaryDataByIDs,,delete_binary_data_by_ids,DeleteBinaryDataByIDs,deleteBinaryDataByIds,deleteBinaryDataByIds
data,AddTagsToBinaryDataByIDs,,add_tags_to_binary_data_by_ids,AddTagsToBinaryDataByIDs,addTagsToBinaryDataByIds,addTagsToBinaryDataByIds
data,AddTagsToBinaryDataByFilter,,add_tags_to_binary_data_by_filter,AddTagsToBinaryDataByFilter,addTagsToBinaryDataByFilter,addTagsToBinaryDataByFilter
data,RemoveTagsFromBinaryDataByIDs,,remove_tags_from_binary_data_by_ids,RemoveTagsFromBinaryDataByIDs,removeTagsFromBinaryDataByIds,removeTagsFromBinaryDataByIds
data,RemoveTagsFromBinaryDataByFilter,,remove_tags_from_binary_data_by_filter,RemoveTagsFromBinaryDataByFilter,removeTagsFromBinaryDataByFilter,removeTagsFromBinaryDataByFilter
data,TagsByFilter,,tags_by_filter,,tagsByFilter,tagsByFilter
data,AddBoundingBoxToImageByID,,add_bounding_box_to_image_by_id,AddBoundingBoxToImageByID,addBoundingBoxToImageById,addBoundingBoxToImageById
data,RemoveBoundingBoxFromImageByID,,remove_bounding_box_from_image_by_id,RemoveBoundingBoxFromImageByID,removeBoundingBoxFromImageById,removeBoundingBoxFromImageById
data,BoundingBoxLabelsByFilter,,bounding_box_labels_by_filter,BoundingBoxLabelsByFilter,boundingBoxLabelsByFilter,boundingBoxLabelsByFilter
data,GetDatabaseConnection,,get_database_connection,GetDatabaseConnection,getDatabaseConnection,getDatabaseConnection
data,ConfigureDatabaseUser,,configure_database_user,ConfigureDatabaseUser,configureDatabaseUser,configureDatabaseUser
data,AddBinaryDataToDatasetByIDs,,add_binary_data_to_dataset_by_ids,AddBinaryDataToDatasetByIDs,addBinaryDataToDatasetByIds,addBinaryDataToDatasetByIds
data,RemoveBinaryDataFromDatasetByIDs,,remove_binary_data_from_dataset_by_ids,RemoveBinaryDataFromDatasetByIDs,removeBinaryDataFromDatasetByIds,removeBinaryDataFromDatasetByIds
data,GetDataPipeline,,get_data_pipeline,GetDataPipeline,,getDataPipeline
data,ListDataPipelines,,list_data_pipelines,ListDataPipelines,,listDataPipelines
data,CreateDataPipeline,,create_data_pipeline,CreateDataPipeline,,createDataPipeline
data,DeleteDataPipeline,,delete_data_pipeline,DeleteDataPipeline,,deleteDataPipeline
data,ListDataPipelineRuns,,list_data_pipeline_runs,ListDataPipelineRuns,,listDataPipelineRuns

## Dataset
dataset,CreateDataset,,create_dataset,CreateDataset,createDataset,createDataset
dataset,DeleteDataset,,delete_dataset,DeleteDataset,deleteDataset,deleteDataset
dataset,RenameDataset,,rename_dataset,RenameDataset,renameDataset,renameDataset
dataset,ListDatasetsByOrganizationID,,list_datasets_by_organization_id,ListDatasetsByOrganizationID,listDatasetsByOrganizationID,listDatasetsByOrganizationID
## TE: yes PySDK is singular:
dataset,ListDatasetsByIDs,,list_dataset_by_ids,ListDatasetsByIDs,listDatasetsByIDs,listDatasetsByIds

## Datasync
data_sync,DataCaptureUpload,,,,,
## HACK: DataCaptureUpload instead implemented in binary_data_capture_upload (python), adding pseudo-entry:
data_sync,BinaryDataCaptureUpload,,binary_data_capture_upload,,binaryDataCaptureUpload,binaryDataCaptureUpload
## HACK: DataCaptureUpload instead implemented in tabular_data_capture_upload (python), adding pseudo-entry:
data_sync,TabularDataCaptureUpload,,tabular_data_capture_upload,,tabularDataCaptureUpload,tabularDataCaptureUpload
data_sync,FileUpload,,file_upload,,uploadFile,
## HACK: FileUpload also implemented in file_upload_from_path (python), adding pseudo-entry:
data_sync,FileUploadFromPath,,file_upload_from_path,,,
data_sync,StreamingDataCaptureUpload,,streaming_data_capture_upload,,streamingDataCaptureUpload,

## Discovery
discovery,DiscoverResources,,discover_resources,DiscoverResources,,discoverResources

## MLTraining
mltraining,SubmitTrainingJob,,submit_training_job,,,submitTrainingJob
mltraining,SubmitCustomTrainingJob,,submit_custom_training_job,,,submitCustomTrainingJob
mltraining,GetTrainingJob,,get_training_job,,,getTrainingJob
mltraining,ListTrainingJobs,,list_training_jobs,,,listTrainingJobs
mltraining,CancelTrainingJob,,cancel_training_job,,,cancelTrainingJob
mltraining,DeleteCompletedTrainingJob,,delete_completed_training_job,,,deleteCompletedTrainingJob

## Robot
## Omitting some Flutter methods from w until we can determine what they do
## ( counterpart description text in other SDKs, as other SDKs implement these)
robot,GetOperations,,get_operations,,,getOperations
robot,GetMachineStatus,,get_machine_status,MachineStatus,getMachineStatus,getMachineStatus
robot,GetSessions,,,,,getSessions
robot,ResourceNames,,,ResourceNames,,resourceNames
robot,ResourceRPCSubtypes,,,,,resourceRPCSubtypes
robot,CancelOperation,,cancel_operation,,,cancelOperation
robot,BlockForOperation,,block_for_operation,,,blockForOperation
robot,FrameSystemConfig,,get_frame_system_config,,,frameSystemConfig
robot,TransformPose,,transform_pose,,,transformPose
robot,TransformPCD,,,,,transformPCD
robot,StreamStatus,,,,,
# DEPRECATED robot,DiscoverComponents,,discover_components,DiscoverComponents,,discoverComponents
robot,GetModelsFromModules,,get_models_from_modules,GetModelsFromModules,getModelsFromModules,getModelsFromModules
robot,StopAll,,stop_all,StopAll,,stopAll
robot,RestartModule,,restart_module,RestartModule,,restartModule
robot,StartSession,,,,,
robot,SendSessionHeartbeat,,,,,
robot,Log,,log,,,
robot,GetCloudMetadata,,get_cloud_metadata,CloudMetadata,getCloudMetadata,getCloudMetadata
robot,GetVersion,,get_version,Version,,getVersion
## HACK: Robot (python) provides additional helper function, adding 4 pseudo-entries:
robot,Options.with_api_key,,with_api_key,,,
robot,AtAddress,,at_address,,atAddress,
robot,WithChannel,,with_channel,,,
robot,Refresh,,refresh,,refresh,
robot,Shutdown,Yes,shutdown,Shutdown,,
## HACK:  proto for close, manually mapping:
robot,Close,,close,Close,close,
